response_id,company_id,survey_year,quarter,country,region,industry,company_size,num_employees,annual_revenue_usd_millions,company_founding_year,company_age,company_age_group,ai_adoption_rate,ai_adoption_stage,years_using_ai,ai_primary_tool,num_ai_tools_used,ai_use_case,ai_projects_active,ai_training_hours,ai_budget_percentage,ai_maturity_score,ai_failure_rate,ai_investment_per_employee,regulatory_compliance_score,data_privacy_level,ai_ethics_committee,ai_risk_management_score,remote_work_percentage,employee_satisfaction_score,task_automation_rate,time_saved_per_week,productivity_change_percent,jobs_displaced,jobs_created,reskilled_employees,revenue_growth_percent,cost_reduction_percent,innovation_score,customer_satisfaction,survey_source,data_collection_method
63707,COMP-03982,2025,Q3,New Zealand,Oceania,Retail,Startup,74,6.37,1997,28,16-30 years,26.96,pilot,4,Custom Internal AI,3,Supply Chain Optimization,3,0.0,3.87,0.102,40.0,3334.17,70,Medium,No,49,45.71,6.4,20.38,4.77,0.0,3,2,3,2.54,4.61,41,4.67,LinkedIn Poll,Research Compilation
22784,COMP-01424,2026,Q4,Chile,South America,Manufacturing,SME,578,496.23,1991,35,30+ years,30.56,pilot,8,ChatGPT,2,Supply Chain Optimization,8,30.83,7.32,0.359,20.38,62844.19,56,Medium,Yes,68,21.35,7.5,21.7,6.13,11.73,34,16,59,9.34,14.03,66,5.49,Internal Corporate Survey,Phone Interview
135720,COMP-08483,2024,Q4,Philippines,Asia,Consulting,Startup,76,45.87,2000,24,16-30 years,25.96,pilot,6,Other,2,Software Development,7,15.95,5.86,0.261,28.41,35345.29,64,Medium,No,62,48.46,4.85,0.56,1.54,2.61,0,3,4,4.22,1.95,40,5.33,McKinsey Report,API Scrape
149830,COMP-09365,2024,Q2,Egypt,Africa,Consulting,SME,474,300.29,2019,5,0-5 years,18.37,pilot,1,Custom Internal AI,3,Software Development,3,6.16,4.96,0.142,28.23,31399.03,74,High,No,48,44.88,4.65,11.0,2.71,5.76,15,9,20,-0.33,4.12,47,5.13,Internal Corporate Survey,Online Survey
153888,COMP-09618,2026,Q4,Brazil,South America,Agriculture,Startup,35,7.45,1998,28,16-30 years,37.27,partial,7,ChatGPT,3,HR Automation,1,29.42,7.67,0.241,22.08,16319.12,78,Low,Yes,63,25.84,5.89,29.16,8.31,8.1,3,1,3,0.53,2.27,56,5.5,Internal Corporate Survey,Research Compilation
102720,COMP-06420,2026,Q4,UK,Europe,Healthcare,SME,606,64.93,2013,13,6-15 years,35.55,partial,6,Claude,2,Predictive Maintenance,4,15.93,9.09,0.254,23.64,9737.96,58,Medium,Yes,67,55.01,5.21,13.93,8.01,10.56,20,35,35,6.31,1.08,40,6.77,WEF Survey,Phone Interview
53048,COMP-03316,2024,Q4,Colombia,South America,Agriculture,Startup,55,8.38,1992,32,30+ years,29.23,pilot,3,Gemini,3,Supply Chain Optimization,1,6.2,4.18,0.098,40.0,6365.14,61,High,No,43,10.21,5.44,12.19,5.24,1.49,1,2,2,-4.32,0.74,57,5.18,Internal Corporate Survey,API Scrape
50541,COMP-03159,2026,Q1,South Korea,Asia,Finance,Enterprise,3478,3523.83,2004,22,16-30 years,45.51,partial,5,Gemini,4,Marketing Automation,10,30.33,11.29,0.444,37.45,114394.07,73,High,No,53,59.94,5.54,17.0,6.42,11.16,80,187,202,2.92,2.72,58,5.4,McKinsey Report,Phone Interview
62235,COMP-03890,2025,Q3,New Zealand,Oceania,Education,SME,279,148.35,2018,7,6-15 years,45.77,partial,7,Custom Internal AI,2,Software Development,7,35.06,8.36,0.374,21.76,44430.12,75,High,Yes,59,45.48,5.73,36.52,5.94,5.24,25,13,15,-2.29,13.68,55,5.51,McKinsey Report,Research Compilation
73584,COMP-04599,2026,Q4,France,Europe,Manufacturing,Startup,46,24.8,2013,13,6-15 years,35.77,partial,4,ChatGPT,1,HR Automation,2,15.13,7.72,0.199,20.31,41603.5,83,Medium,No,46,29.96,4.75,32.95,9.65,5.9,3,2,3,8.99,7.36,41,4.63,Internal Corporate Survey,Phone Interview
44779,COMP-02799,2025,Q3,Nigeria,Africa,Education,SME,935,117.22,2022,3,0-5 years,62.94,partial,3,GitHub Copilot,3,Customer Support,7,38.32,15.58,0.484,24.11,19536.12,65,Medium,No,55,79.09,7.67,29.92,7.46,11.39,67,50,66,10.99,9.15,50,6.55,McKinsey Report,API Scrape
94653,COMP-05916,2026,Q1,South Korea,Asia,Manufacturing,Enterprise,11560,7563.25,2003,23,16-30 years,66.97,partial,9,ChatGPT,4,Supply Chain Optimization,17,24.63,14.44,0.578,17.66,94457.74,65,Medium,No,67,54.27,5.34,31.73,8.69,18.66,885,919,385,12.24,12.02,64,5.46,Internal Corporate Survey,API Scrape
75417,COMP-04714,2025,Q1,Canada,North America,Healthcare,Startup,19,25.81,2011,14,6-15 years,37.87,partial,5,GitHub Copilot,2,Medical Diagnostics,6,14.7,8.29,0.272,32.16,112593.26,55,High,No,66,44.05,3.45,24.95,10.82,5.87,1,1,1,3.31,4.37,55,5.81,LinkedIn Poll,API Scrape
21562,COMP-01348,2025,Q2,Italy,Europe,Retail,Enterprise,12267,1350.88,2013,12,6-15 years,66.51,partial,9,Other,3,Fraud Detection,11,46.09,15.3,0.579,12.44,16847.82,73,Low,No,74,57.95,6.23,51.8,11.32,17.66,1117,998,983,6.93,11.7,73,5.72,McKinsey Report,Online Survey
86048,COMP-05378,2026,Q4,Germany,Europe,Healthcare,SME,294,135.64,2004,22,16-30 years,39.89,partial,4,ChatGPT,2,Medical Diagnostics,4,23.91,4.82,0.231,22.46,22254.51,71,High,Yes,65,37.42,5.05,14.32,5.85,6.25,6,10,17,0.57,3.84,65,5.01,LinkedIn Poll,Phone Interview
103299,COMP-06457,2023,Q3,Italy,Europe,Finance,SME,579,233.08,1999,24,16-30 years,49.23,partial,4,Claude,3,Customer Support,8,32.73,10.97,0.416,19.42,44174.13,62,High,No,54,47.97,5.44,15.31,3.99,15.39,12,29,41,3.63,3.74,50,7.46,WEF Survey,API Scrape
86809,COMP-05426,2025,Q1,Brazil,South America,Retail,SME,796,89.54,2014,11,6-15 years,21.37,pilot,5,Gemini,1,Fraud Detection,3,19.88,7.42,0.232,31.16,8350.37,75,High,Yes,73,56.17,4.88,20.5,5.07,3.46,34,16,36,0.23,3.72,71,4.32,Internal Corporate Survey,API Scrape
116729,COMP-07296,2025,Q1,Kenya,Africa,Healthcare,SME,219,167.25,2001,24,16-30 years,23.95,pilot,3,ChatGPT,2,Medical Diagnostics,5,21.77,7.85,0.279,28.43,59958.3,62,Medium,No,50,25.09,4.5,7.48,4.83,5.1,3,6,10,6.21,2.99,49,4.94,McKinsey Report,Online Survey
2020,COMP-00127,2023,Q4,Spain,Europe,Agriculture,Enterprise,1846,5582.85,2015,8,6-15 years,43.4,partial,4,Other,3,Predictive Maintenance,8,30.06,14.14,0.447,16.36,427710.13,57,Low,Yes,60,31.9,5.94,25.82,3.68,17.77,79,125,110,9.26,6.2,55,7.11,Internal Corporate Survey,API Scrape
49467,COMP-03092,2025,Q3,Singapore,Asia,Consulting,SME,317,322.49,1990,35,30+ years,16.09,pilot,8,Claude,3,Software Development,2,24.11,4.82,0.198,28.22,49008.24,63,Medium,No,66,38.08,5.08,15.7,5.98,9.12,9,9,20,12.88,5.08,45,5.48,McKinsey Report,Phone Interview
8006,COMP-00501,2024,Q2,Vietnam,Asia,Healthcare,SME,471,463.19,1995,29,16-30 years,37.78,partial,3,Gemini,3,Customer Support,6,12.56,9.82,0.283,35.25,96552.0,63,High,Yes,57,46.92,5.71,18.17,7.6,4.02,20,13,15,2.93,6.46,53,4.52,Internal Corporate Survey,API Scrape
